Brunna Forgecoeur  
Hilda Barbe-de-Fer  
Gilda Sculpte-rune  
Thora Marteau-d’Or  
Frida Pierregrise  
Helga Flammebrune  
Astrid Lame-d’Argent  
Gudrun Brise-Roche  
Ylva Veine-de-Fer  
Dagny Forge-Tonnerre  
Sigrid Coeur-de-Cendre  
Brynna Barbe-d’Étain  
Greta Main-de-Flamme  
Inga Forge-des-Âges  
Ragna Crâne-de-Pierre  
Kara Barbe-Sombre  
Tilda Sculpte-Gemme  
Svala Garde-Racine  
Milda Flambétoile  
Eira Forge-du-Nord  
Bera Veine-Rouge  
Freya Marteau-de-Sang  
Anja Forgeclaire  
Siri Tison-de-Pierre  
Ilma Forge-des-Cendres  
Thyra Barbe-d’Orage  
Solveig Lame-des-Pics  
Yrsa Barbe-de-Cristal  
Hervor Flamme-du-Matin  
Lina Sombreforge  
Vala Mine-des-Profondeurs  
Gerda Forge-Garde  
Nessa Lame-Rouge  
Tora Tête-de-Roche  
Ebba Garde-des-Forges  
Saga Coeur-d’Obsidienne  
Vigdis Marteau-du-Feu  
Runa Brise-Pierres  
Elga Forge-Lointaine  
Brynja Tison-des-Brumes  
Maren Barbe-de-Granit  
Thora Crâne-de-Rune  
Olga Flamme-Silencieuse  
Astrun Forge-Sacrée  
Eldrid Veine-de-Jade  
Klara Lame-du-Froid  
Vera Marteau-des-Terres  
Rona Brume-de-Fer  
Dagna Hache-d’Or  
Gunnilda Forge-des-Cavernes  
Tirla Veine-Écarlate  
Gerdh Sculpte-Cristal  
Nanna Forge-du-Savoir  
Birka Barbe-de-Neige  
Ylfrun Tison-de-Gloire  
Alva Forge-des-Racines  
Sanna Marteau-des-Monts  
Irena Lame-de-Fumée  
Hallvi Forge-d’Ambre  
Liora Tête-d’Éclat  
Elna Coeur-de-Roche  
Hjordis Garde-d’Acier  
Bryndis Flamme-de-Lune  
Kjara Sombre-Rune  
Fritha Forge-des-Vents  
Orla Tison-d’Obsidienne  
Disa Barbe-d’Acier  
Hildi Marteau-des-Anciens  
Eydis Flamme-d’Argent  
Ingrida Brise-Terre  
Tirga Forge-Souffle  
Viona Veine-de-Lave  
Gunnhild Lame-Scintillante  
Elida Forge-Étoile  
Ida Crâne-de-Cendres  
Tilda Garde-des-Runes  
Sunniva Barbe-de-Jais  
Marit Veine-de-Feu  
Embla Forge-Tissepierre  
Isla Lame-de-Nuit  
Liv Forge-du-Voile  
Rigmor Garde-Mine  
Aska Barbe-Fossile  
Karja Flamme-de-Brume  
Unna Lame-du-Silence  
Yselda Forge-du-Refuge  
Nerja Sculpte-Flamme  
Inka Forge-Tourment  
Gudrida Veine-des-Brumes  
Tirna Hache-de-Pierre  
Eilin Barbe-des-Abîmes  
Sigga Forge-des-Géants  
Olrun Marteau-des-Cendres  
Tove Tison-du-Crâne  
Elinor Veine-du-Feu  
Dagna Flamme-d’Argile  
Alfhild Lame-des-Temps  
Ygda Garde-des-Racines  
Marnis Sculpte-Glace  
Freyda Forge-de-Peuple
